region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
36,0,l3,33717184.0,16866944.0,16850240.0,56406376013.97297,28217160290.450867,28189215723.522106,0.20030673300416538,0.1002029839859761,0.10010374901818929,0.00011973431818181818,5.9896818181818185e-05,5.98375e-05,51.27852364906634,25.65196390040988,25.626559748656458
36,0,gti,30631936.0,16879616.0,13752320.0,51244982382.03864,28238359617.08648,23006622764.95216,0.36395584078152443,0.4011130627427057,0.32679861882034317,0.00023976727272727273,0.00023976727272727273,0.00019534545454545453,46.58634762003513,25.671236015533164,20.915111604501963
36,0,llc,30631936.0,16879616.0,13752320.0,51244982382.03864,28238359617.08648,23006622764.95216,0.36395584078152443,0.4011130627427057,0.32679861882034317,0.00023976727272727273,0.00023976727272727273,0.00019534545454545453,46.58634762003513,25.671236015533164,20.915111604501963
36,0,dram,26768043.0,18295467.0,8472576.0,44780972770.9229,30606974501.584534,14173998269.33836,0.9329369327275603,0.6376453021163445,0.2952916306112159,0.0005576675625,0.0003811555625,0.000176512,40.70997524629354,27.82452227416776,12.885452972125782
7,0,l3,33717184.0,16866944.0,16850240.0,56406376013.97297,28217160290.450867,28189215723.522106,0.20030673300416538,0.1002029839859761,0.10010374901818929,0.00011973431818181818,5.9896818181818185e-05,5.98375e-05,51.27852364906634,25.65196390040988,25.626559748656458
7,0,gti,30631936.0,16879616.0,13752320.0,51244982382.03864,28238359617.08648,23006622764.95216,0.36395584078152443,0.4011130627427057,0.32679861882034317,0.00023976727272727273,0.00023976727272727273,0.00019534545454545453,46.58634762003513,25.671236015533164,20.915111604501963
7,0,llc,30631936.0,16879616.0,13752320.0,51244982382.03864,28238359617.08648,23006622764.95216,0.36395584078152443,0.4011130627427057,0.32679861882034317,0.00023976727272727273,0.00023976727272727273,0.00019534545454545453,46.58634762003513,25.671236015533164,20.915111604501963
7,0,dram,26768043.0,18295467.0,8472576.0,44780972770.9229,30606974501.584534,14173998269.33836,0.9329369327275603,0.6376453021163445,0.2952916306112159,0.0005576675625,0.0003811555625,0.000176512,40.70997524629354,27.82452227416776,12.885452972125782
39,0,l3,86071722624.0,86004724608.0,66998016.0,207508171590.19867,207346647742.6853,161523847.5133563,0.7368898138856487,0.7363162206771495,0.0005735932084991346,0.3056524240909091,0.305414505,0.00023791909090909092,188.64379235472606,188.49695249335028,0.14683986137577845
39,0,gti,8651159552.0,8639625216.0,11534336.000000002,20856865019.56959,20829057176.286118,27807843.28347598,0.14813114360489768,0.29586728943588236,0.0003949977739130111,0.1227219490909091,0.1227219490909091,0.00016384000000000003,18.9607863814269,18.935506523896468,0.02527985753043271
39,0,llc,8651159552.0,8639625216.0,11534336.000000002,20856865019.56959,20829057176.286118,27807843.28347598,0.14813114360489768,0.29586728943588236,0.0003949977739130111,0.1227219490909091,0.1227219490909091,0.00016384000000000003,18.9607863814269,18.935506523896468,0.02527985753043271
39,0,dram,5138071551.999999,5126959103.999999,11112448.0,12387248689.244198,12360457965.228548,26790724.015649974,0.2580676810259208,0.2575095409422614,0.0005581400836593745,0.10704315733333332,0.10681164799999998,0.00023150933333333334,11.261135172040179,11.23677996838959,0.024355203650590886
40,0,l3,86071722624.0,86004724608.0,66998016.0,207508171590.19867,207346647742.6853,161523847.5133563,0.7368898138856487,0.7363162206771495,0.0005735932084991346,0.3056524240909091,0.305414505,0.00023791909090909092,188.64379235472606,188.49695249335028,0.14683986137577845
40,0,gti,8651159552.0,8639625216.0,11534336.000000002,20856865019.56959,20829057176.286118,27807843.28347598,0.14813114360489768,0.29586728943588236,0.0003949977739130111,0.1227219490909091,0.1227219490909091,0.00016384000000000003,18.9607863814269,18.935506523896468,0.02527985753043271
40,0,llc,8651159552.0,8639625216.0,11534336.000000002,20856865019.56959,20829057176.286118,27807843.28347598,0.14813114360489768,0.29586728943588236,0.0003949977739130111,0.1227219490909091,0.1227219490909091,0.00016384000000000003,18.9607863814269,18.935506523896468,0.02527985753043271
40,0,dram,5138071551.999999,5126959103.999999,11112448.0,12387248689.244198,12360457965.228548,26790724.015649974,0.2580676810259208,0.2575095409422614,0.0005581400836593745,0.10704315733333332,0.10681164799999998,0.00023150933333333334,11.261135172040179,11.23677996838959,0.024355203650590886
23,0,l3,85937504896.0,85870506880.0,66998016.0,207184589413.80914,207023065566.29578,161523847.5133563,0.7357407294524472,0.735167136243948,0.0005735932084991346,0.3051757986363636,0.30493787954545454,0.00023791909090909092,188.34962673982648,188.2027868784507,0.14683986137577845
23,0,gti,8642714965.0,8631180629.0,11534336.000000002,20836506175.168865,20808698331.88539,27807843.28347598,0.14798654953955162,0.29557810130519024,0.0003949977739130111,0.12260199757102273,0.12260199757102273,0.00016384000000000003,18.942278341062604,18.916998483532172,0.02527985753043271
23,0,llc,8642714965.0,8631180629.0,11534336.000000002,20836506175.168865,20808698331.88539,27807843.28347598,0.14798654953955162,0.29557810130519024,0.0003949977739130111,0.12260199757102273,0.12260199757102273,0.00016384000000000003,18.942278341062604,18.916998483532172,0.02527985753043271
23,0,dram,5129626964.999999,5118514516.999999,11112448.0,12366889844.843473,12340099120.827824,26790724.015649974,0.25764353843423904,0.25708539835057964,0.0005581400836593745,0.10686722843749998,0.10663571910416665,0.00023150933333333334,11.242627131675885,11.218271928025294,0.024355203650590886
