estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
371,31,32,"(1024, 1025)","(1, 256)",33792,0.4189441175,10.88450066326567,L3_BW
372,31,32,"(1024, 1025)","(2, 4)",131584,0.8008212400266076,5.6941515745118005,Compute
373,31,32,"(1024, 1025)","(2, 8)",66048,0.5262304593181818,8.66540019501765,L3_BW
374,31,32,"(1024, 1025)","(2, 16)",33280,0.4191172665909091,10.880003970943317,L3_BW
375,31,32,"(1024, 1025)","(2, 32)",33280,0.4191172665909091,10.880003970943317,L3_BW
376,31,32,"(1024, 1025)","(2, 64)",33280,0.4191172665909091,10.880003970943317,L3_BW
377,31,32,"(1024, 1025)","(2, 128)",33280,0.4191172665909091,10.880003970943317,L3_BW
378,31,32,"(1024, 1025)","(4, 2)",131328,0.8015687600266076,5.688841372321738,Compute
379,31,32,"(1024, 1025)","(4, 4)",65792,0.5255899938636365,8.675959546488407,L3_BW
380,31,32,"(1024, 1025)","(4, 8)",33024,0.4185978193181818,10.893505207999866,L3_BW
381,31,32,"(1024, 1025)","(4, 16)",33024,0.4185978193181818,10.893505207999866,L3_BW
382,31,32,"(1024, 1025)","(4, 32)",33024,0.4185978193181818,10.893505207999866,L3_BW
383,31,32,"(1024, 1025)","(4, 64)",33024,0.4185978193181818,10.893505207999866,L3_BW
384,31,32,"(1024, 1025)","(8, 1)",131200,0.798963867503326,5.70738891991385,Compute
385,31,32,"(1024, 1025)","(8, 2)",65664,0.5259362920454546,8.670246936307445,L3_BW
386,31,32,"(1024, 1025)","(8, 4)",32896,0.4189441175,10.88450066326567,L3_BW
387,31,32,"(1024, 1025)","(8, 8)",32896,0.4189441175,10.88450066326567,L3_BW
388,31,32,"(1024, 1025)","(8, 16)",32896,0.4189441175,10.88450066326567,L3_BW
389,31,32,"(1024, 1025)","(8, 32)",32896,0.4189441175,10.88450066326567,L3_BW
390,31,32,"(1024, 1025)","(16, 1)",65600,0.5262304593181818,8.66540019501765,L3_BW
391,31,32,"(1024, 1025)","(16, 2)",32832,0.4191172665909091,10.880003970943317,L3_BW
392,31,32,"(1024, 1025)","(16, 4)",32832,0.4191172665909091,10.880003970943317,L3_BW
393,31,32,"(1024, 1025)","(16, 8)",32832,0.4191172665909091,10.880003970943317,L3_BW
394,31,32,"(1024, 1025)","(16, 16)",32832,0.4191172665909091,10.880003970943317,L3_BW
395,31,32,"(1024, 1025)","(32, 1)",32800,0.4192038411363636,10.877757017776633,L3_BW
396,31,32,"(1024, 1025)","(32, 2)",32800,0.4192038411363636,10.877757017776633,L3_BW
397,31,32,"(1024, 1025)","(32, 4)",32800,0.4192038411363636,10.877757017776633,L3_BW
398,31,32,"(1024, 1025)","(32, 8)",32800,0.4192038411363636,10.877757017776633,L3_BW
399,31,32,"(1024, 1025)","(64, 1)",32800,0.4192038411363636,10.877757017776633,L3_BW
400,31,32,"(1024, 1025)","(64, 2)",32800,0.4192038411363636,10.877757017776633,L3_BW
401,31,32,"(1024, 1025)","(64, 4)",32800,0.4192038411363636,10.877757017776633,L3_BW
402,31,32,"(1024, 1025)","(128, 1)",32800,0.4192038411363636,10.877757017776633,L3_BW
403,31,32,"(1024, 1025)","(128, 2)",32800,0.4192038411363636,10.877757017776633,L3_BW
404,31,32,"(1024, 1025)","(256, 1)",32800,0.4192038411363636,10.877757017776633,L3_BW
405,31,8,"(1024,)","(8,)",128,1.2725440011363636,3.583371200310549,"Latencies, L3_BW"
406,31,8,"(1024, 1025)","(1, 8)",132096,0.5857714047727273,7.7846024705989665,L3_BW
407,31,8,"(1024,)","(16,)",128,1.2725440011363636,3.583371200310549,"Latencies, L3_BW"
408,31,8,"(1024, 1025)","(1, 16)",132096,0.5857714047727273,7.7846024705989665,L3_BW
409,31,8,"(1024,)","(32,)",128,1.2725440011363636,3.583371200310549,"Latencies, L3_BW"
410,31,8,"(1024, 1025)","(1, 32)",132096,0.5857714047727273,7.7846024705989665,L3_BW
411,31,8,"(1024,)","(64,)",128,1.2725440011363636,3.583371200310549,"Latencies, L3_BW"
412,31,8,"(1024, 1025)","(1, 64)",132096,0.5857714047727273,7.7846024705989665,L3_BW
